Code	Preferred Term
C136619	Stage III Bone Cancer AJCC v8
C136616	Stage II Bone Cancer AJCC v8
C136613	Stage I Bone Cancer AJCC v8
C136620	Stage IV Bone Cancer AJCC v8
C87181	Stage II Bone Cancer AJCC v7
C87178	Stage I Bone Cancer AJCC v7
C87185	Stage IV Bone Cancer AJCC v7
C87184	Stage III Bone Cancer AJCC v7
C157624	Transformed Chronic Lymphocytic Leukemia to Diffuse Large B-Cell Lymphoma
C201960	Transformed Chronic Lymphocytic Leukemia to Hodgkin Lymphoma
C37205	Chronic Lymphocytic Leukemia with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene
C8645	Recurrent Chronic Lymphocytic Leukemia
C7176	Aleukemic Chronic Lymphocytic Leukemia
C36272	Chronic Lymphocytic Leukemia with Plasmacytoid Differentiation
C141208	Chronic Lymphocytic Leukemia- Binet Staging System
C37202	Chronic Lymphocytic Leukemia with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation
C7886	Refractory Chronic Lymphocytic Leukemia
C141206	Chronic Lymphocytic Leukemia- Modified Rai Staging System
C157693	Refractory Aggressive NK-Cell Leukemia
C157692	Recurrent Aggressive NK-Cell Leukemia
C180985	Recurrent T-Cell Large Granular Lymphocyte Leukemia
C176999	Recurrent Sezary Syndrome
C150133	Recurrent T-Cell Prolymphocytic Leukemia
C39584	T-Cell Large Granular Lymphocyte Leukemia, Common Variant
C180986	Refractory T-Cell Large Granular Lymphocyte Leukemia
C39586	T-Cell Large Granular Lymphocyte Leukemia Expressing the T-Cell Receptor Gamma-Delta
C157691	Refractory T-Cell Prolymphocytic Leukemia
C177000	Refractory Sezary Syndrome
C203904	Chronic Phase Chronic Myeloid Leukemia, Philadelphia Chromosome Positive, BCR-ABL1 Positive
C4752	T-Cell Prolymphocytic Leukemia
C172626	Recurrent Acute Leukemia of Ambiguous Lineage
C172630	Refractory Acute Leukemia of Ambiguous Lineage
C200494	Acute Leukemia of Ambiguous Lineage with Defining Genetic Abnormalities
C9298	Acute Undifferentiated Leukemia
C151975	Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified
C82179	Mixed Phenotype Acute Leukemia
C7646	Adrenal Gland Ganglioneuroblastoma
C6964	Neuroblastoma of the Adrenal Gland and Sympathetic Nervous System
C3813	Metastatic Malignant Neoplasm to the Brain
C3814	Metastatic Malignant Neoplasm to the Leptomeninges
C4585	Metastatic Malignant Neoplasm to the Spinal Cord
C133503	Lung Carcinoma Metastatic in the Central Nervous System
C175220	Metastatic Malignant Neoplasm in the Visual Pathway
C3789	Olfactory Neuroblastoma
C127816	WHO Grade III Glioma
C200758	WHO Grade 4 Glioma
C162993	Malignant Brain Glioma
C102897	High Grade Astrocytic Tumor
C5446	Meningeal Gliomatosis
C8506	Malignant Leptomeningeal Neoplasm
C27383	Meningeal Carcinomatosis
C186547	Central Nervous System Neuroblastoma, FOXR2-Activated
C5155	Spinal Cord Neuroblastoma
C175221	Malignant Visual Pathway Neoplasm
C7045	Malignant Intracranial Neoplasm by Morphology
C3568	Malignant Brain Neoplasm
C162787	Resectable Oropharyngeal Squamous Cell Carcinoma
C162943	Resectable Cutaneous Squamous Cell Carcinoma of the Head and Neck
C165767	Resectable Lung Non-Small Cell Carcinoma
C190953	Resectable Lung Squamous Cell Carcinoma
C156908	Resectable Intrahepatic Cholangiocarcinoma
C7691	Resectable Hepatocellular Carcinoma
C150607	Resectable Dedifferentiated Liposarcoma
C188209	Unresectable Uterine Corpus Leiomyosarcoma
C188207	Metastatic Uterine Corpus Leiomyosarcoma
C40175	Uterine Corpus Myxoid Leiomyosarcoma
C139870	Uterine Corpus Leiomyosarcoma by AJCC v8 Stage
C40174	Uterine Corpus Epithelioid Leiomyosarcoma
C178222	Dedifferentiated Leiomyosarcoma
C5374	Pulmonary Vein Leiomyosarcoma
C5388	Renal Vein Leiomyosarcoma
C5373	Pulmonary Artery Leiomyosarcoma
C5372	Inferior Vena Cava Leiomyosarcoma
C165780	Advanced Leiomyosarcoma
C160917	Locally Advanced Leiomyosarcoma
C45210	Classical Low Grade Fibromyxoid Sarcoma
C45203	Low Grade Fibromyxoid Sarcoma with Giant Collagen Rosettes
C171317	Locally Advanced Fibrosarcoma
C168716	Advanced Fibrosarcoma
C168714	Advanced Malignant Peripheral Nerve Sheath Tumor
C164074	Locally Advanced Malignant Peripheral Nerve Sheath Tumor
C4335	Malignant Triton Tumor
C6630	Malignant Melanotic Peripheral Nerve Sheath Tumor of the Mediastinum
C6910	Malignant Melanotic Psammomatous Peripheral Nerve Sheath Tumor
C40223	Uterine Corpus Low Grade Endometrial Stromal Sarcoma
C8969	Parosteal Osteosarcoma
C6474	Low Grade Central Osteosarcoma
C114782	Adult Undifferentiated High Grade Pleomorphic Sarcoma of Bone
C173843	Maxillofacial Mesenchymal Chondrosarcoma
C178476	Primary Central Atypical Cartilaginous Tumor/Chondrosarcoma, Grade 1
C171072	Metastatic Primary Central Chondrosarcoma
C6621	Metastatic Bone Ewing Sarcoma
C4834	Primary Bone Osteosarcoma
C136633	Osteosarcoma by AJCC v7 Stage
C6468	Stage III Bone Sarcoma AJCC v7
C6706	Stage IV Bone Sarcoma AJCC v7
C6704	Stage I Bone Sarcoma AJCC v7
C6705	Stage II Bone Sarcoma AJCC v7
C162762	Advanced Bone Sarcoma
C153070	Locally Advanced Bone Sarcoma
C40379	Angiosarcoma of the Skin of the Arm after Radical Mastectomy followed by Lymphedema
C146856	Locally Advanced Angiosarcoma
C168720	Advanced Angiosarcoma
C35870	Conventional Osteosarcoma
C53958	High Grade Surface Osteosarcoma
C168668	Locally Advanced High Grade Sarcoma
C178493	Central Chondrosarcoma, Grade 3
C170953	Locally Advanced Chondrosarcoma
C178491	Central Chondrosarcoma, Grade 2
C178484	Chondrosarcoma, Grade 1
C178483	Atypical Cartilaginous Tumor
C178473	Central Atypical Cartilaginous Tumor/Chondrosarcoma, Grade 1
C159669	Bladder Alveolar Rhabdomyosarcoma
C159668	Bladder Embryonal Rhabdomyosarcoma
C188070	Prostate Alveolar Rhabdomyosarcoma
C123732	Fusion-Negative Alveolar Rhabdomyosarcoma
C7958	Childhood Alveolar Rhabdomyosarcoma
C123731	Fusion-Positive Alveolar Rhabdomyosarcoma
C27493	Solid Alveolar Rhabdomyosarcoma
C6247	Orbit Alveolar Rhabdomyosarcoma
C128273	Vulvar Alveolar Rhabdomyosarcoma
C27492	Conventional Alveolar Rhabdomyosarcoma
C142881	Recurrent Alveolar Rhabdomyosarcoma
C142880	Refractory Alveolar Rhabdomyosarcoma
C121655	Sclerosing Rhabdomyosarcoma
C6519	Spindle Cell Rhabdomyosarcoma
C178235	MYOD1-Mutant Spindle Cell/Sclerosing Rhabdomyosarcoma
C166415	Locally Advanced Rhabdomyosarcoma
C183250	Metastatic Embryonal Rhabdomyosarcoma
C198154	Metastatic Childhood Rhabdomyosarcoma by Toronto Guidelines v2
C7957	Childhood Embryonal Rhabdomyosarcoma
C8065	Localized Childhood Rhabdomyosarcoma
C123397	Childhood Spindle Cell Rhabdomyosarcoma
C7959	Childhood Pleomorphic Rhabdomyosarcoma
C7960	Childhood Mixed Alveolar Rhabdomyosarcoma
C27369	Adult Pleomorphic Rhabdomyosarcoma
C36099	Adult Botryoid-Type Embryonal Rhabdomyosarcoma
C5525	Prostate Embryonal Rhabdomyosarcoma
C40268	Vaginal Botryoid-Type Embryonal Rhabdomyosarcoma
C9150	Botryoid-Type Embryonal Rhabdomyosarcoma
C49204	Anaplastic Embryonal Rhabdomyosarcoma
C6246	Orbit Embryonal Rhabdomyosarcoma
C5847	Extrahepatic Bile Duct Embryonal Rhabdomyosarcoma
C120224	CIC-Rearranged Sarcoma
C178466	BCOR-CCNB3 Sarcoma
C178468	BCOR ITD Sarcoma
C178461	Round Cell Sarcoma with EWSR1-PATZ1 Gene Fusion
C178460	Round Cell Sarcoma with EWSR1-NFATC2 Gene Fusion
C178462	Round Cell Sarcoma with FUS-NFATC2 Gene Fusion
C175665	Locally Advanced Osteosarcoma
C160916	Locally Advanced Liposarcoma
C164080	Locally Advanced Ewing Sarcoma
C179656	Peritoneal Sarcomatosis
C148298	Metastatic Myxoid Liposarcoma
C182025	Metastatic Pleomorphic Liposarcoma
C164070	Metastatic Dedifferentiated Liposarcoma
C168701	Advanced Liposarcoma
C5235	Ovarian Myxoid Liposarcoma
C170473	Skin Pleomorphic Liposarcoma
C167260	Advanced Malignant Female Reproductive System Neoplasm
C164143	Advanced Genitourinary System Carcinoma
C156066	Metastatic Vulvar Carcinoma
C27784	Metastatic Penile Carcinoma
C153387	Metastatic Cervical Carcinoma
C156065	Metastatic Vaginal Carcinoma
C156068	Metastatic Endometrial Carcinoma
C156064	Metastatic Ovarian Carcinoma
C156062	Metastatic Bladder Carcinoma
C27818	Metastatic Ureter Carcinoma
C156063	Metastatic Fallopian Tube Carcinoma
C27819	Metastatic Urethral Carcinoma
C126109	Metastatic Urothelial Carcinoma
C27806	Metastatic Kidney Carcinoma
C185381	Metastatic Mesonephric Adenocarcinoma
C167069	Locally Advanced Genitourinary System Carcinoma
C8946	Metastatic Prostate Carcinoma
C8053	Malignant Ovarian Sex Cord-Stromal Tumor
C39948	Malignant Testicular Sex Cord-Stromal Tumor
C7547	Malignant Penile Neoplasm
C7251	Malignant Testicular Neoplasm
C192139	Malignant Paratesticular Neoplasm
C7378	Malignant Prostate Neoplasm
C192664	Metastatic Malignant Neoplasm in the Male Reproductive System
C161644	Malignant Seminal Vesicle Neoplasm
C192665	Metastatic Malignant Neoplasm in the Female Reproductive System
C7410	Malignant Vaginal Neoplasm
C126498	Malignant Uterine Ligament Neoplasm
C7431	Malignant Ovarian Neoplasm
C7480	Malignant Fallopian Tube Neoplasm
C3552	Malignant Uterine Neoplasm
C3555	Malignant Placental Neoplasm
C7502	Malignant Vulvar Neoplasm
C27394	Vaginal Melanoma
C40239	Cervical Melanoma
C159665	Urethral Melanoma
C159663	Bladder Melanoma
C7549	Metastatic Malignant Neoplasm in the Kidney
C192670	Metastatic Malignant Neoplasm in the Urinary Tract
C7558	Endometrial Carcinoma
C4866	Vulvar Carcinoma
C3867	Fallopian Tube Carcinoma
C9039	Cervical Carcinoma
C3917	Vaginal Carcinoma
C192669	Urinary Tract Carcinoma
C9384	Kidney Cancer
C4863	Prostate Carcinoma
C192130	Seminal Versicle Carcinoma
C9061	Penile Carcinoma
C120456	Malignant Kidney Neoplasm Except Pelvis
C7525	Malignant Renal Pelvis Neoplasm
C7543	Malignant Ureter Neoplasm
C7507	Malignant Urethral Neoplasm
C9334	Malignant Bladder Neoplasm
C7381	Invasive Follicular Variant Thyroid Gland Papillary Carcinoma
C5650	Lung Papillary Adenocarcinoma
C95967	Ampulla of Vater Invasive Papillary Adenocarcinoma
C39896	Prostate Ductal Adenocarcinoma, Papillary Pattern
C164252	Invasive Sarcomatoid Urothelial Carcinoma
C191687	Invasive Nested Urothelial Carcinoma
C191728	Invasive Tubular Urothelial Carcinoma
C191688	Invasive Plasmacytoid Urothelial Carcinoma
C191730	Invasive Poorly Differentiated Urothelial Carcinoma
C39879	Invasive Renal Pelvis and Ureter Urothelial Carcinoma
C191681	Invasive Urothelial Carcinoma with Squamous Differentiation
C191685	Invasive Microcystic Urothelial Carcinoma
C191678	Invasive Lymphoepithelioma-Like Urothelial Carcinoma
C191680	Invasive Urothelial Carcinoma with Glandular Differentiation
C27885	Infiltrating Bladder Urothelial Carcinoma
C191684	Invasive Lipid-Rich Urothelial Carcinoma
C115966	Infiltrating Bladder Urothelial Carcinoma Associated with Urethral Carcinoma
C191682	Invasive Urothelial Carcinoma with Trophoblastic Differentiation
C191683	Invasive Clear Cell (Glycogen-Rich) Urothelial Carcinoma
C191725	Invasive Large Nested Urothelial Carcinoma
C191734	Invasive Conventional Urothelial Carcinoma
C191679	Invasive Giant Cell Urothelial Carcinoma
C150572	Bladder Carcinoma Infiltrating the Muscle of the Bladder Wall
C27474	Superficial Bladder Carcinoma
C123160	Lepidic Adenocarcinoma
C5649	Lung Acinar Adenocarcinoma
C70659	ISS Stage II Plasma Cell Myeloma
C70658	ISS Stage I Plasma Cell Myeloma
C70660	ISS Stage III Plasma Cell Myeloma
C141394	RISS Stage I Multiple Myeloma
C141395	RISS Stage II Multiple Myeloma
C141396	RISS Stage III Multiple Myeloma
C178375	Triple-Class Refractory Plasma Cell Myeloma
C188074	Extramedullary Disease in Plasma Cell Myeloma Involving the Uterine Corpus
C185153	ConcertAI
C199409	Multiple Myeloma with Hyperdiploidy
C199406	Multiple Myeloma with MAF Family Translocation
C199407	Multiple Myeloma with NSD2 Translocation
C199405	Multiple Myeloma with CCND Family Translocation
C7852	DS Stage III Plasma Cell Myeloma
C7850	DS Stage I Plasma Cell Myeloma
C7851	DS Stage II Plasma Cell Myeloma
C134835	Refractory Ph-Like Acute Lymphoblastic Leukemia
C189043	Refractory B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative
C179429	Refractory B Acute Lymphoblastic Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1
C8846	Refractory Small Lymphocytic Lymphoma
C178555	Refractory Aggressive B-Cell Non-Hodgkin Lymphoma
C7228	Refractory Mature B-Cell Non-Hodgkin Lymphoma
C183514	Refractory Indolent B-Cell Non-Hodgkin Lymphoma
C7241	Plasmacytoma-Like Post-Transplant Lymphoproliferative Disorder
C7245	Burkitt-Like Lymphoma Post-Transplant Lymphoproliferative Disorder
C7249	Immunoblastic Lymphoma Post-Transplant Lymphoproliferative Disorder
C7248	Centroblastic Lymphoma Post-Transplant Lymphoproliferative Disorder
C7247	Anaplastic Lymphoma Post-Transplant Lymphoproliferative Disorder
C185042	Liver Plasmacytoma
C162470	Testicular Plasmacytoma
C37206	Small Lymphocytic Lymphoma with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene
C37203	Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation
C36273	Small Lymphocytic Lymphoma with Plasmacytoid Differentiation
C7304	Splenic Small Lymphocytic Lymphoma
C141259	Small Lymphocytic Lymphoma by Ann Arbor Stage
C8154	Recurrent Small Lymphocytic Lymphoma
C27441	Small Intestinal Mantle Cell Lymphoma
C27409	Small Intestinal Burkitt Lymphoma
C5635	Small Intestinal Mucosa-Associated Lymphoid Tissue Lymphoma
C96056	Small Intestinal Follicular Lymphoma
C3132	Alpha Heavy Chain Disease
C96055	Small Intestinal Diffuse Large B-Cell Lymphoma
C2912	Burkitt Lymphoma
C45194	Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type
C131911	MYC-Negative B-Cell Lymphoma with 11q Aberration Resembling Burkitt Lymphoma
C45231	Diffuse Large B-Cell Lymphoma Unclassifiable
C36081	Diffuse Large B-Cell Lymphoma Activated B-Cell Type
C3460	Grade 3 Follicular Lymphoma
C178553	Recurrent Aggressive B-Cell Non-Hodgkin Lymphoma
C171299	Indolent B-Cell Non-Hodgkin Lymphoma
C133494	Large B-Cell Lymphoma with IRF4 Rearrangement
C165799	Recurrent Mature B-Cell Non-Hodgkin Lymphoma
C7258	Nodular Lymphocyte Predominant Hodgkin Lymphoma
C8851	Diffuse Large B-Cell Lymphoma
C37869	B-Cell Lymphoma, Unclassifiable, with Features Intermediate between Diffuse Large B-Cell Lymphoma and Classic Hodgkin Lymphoma
C4337	Mantle Cell Lymphoma
C3209	Follicular Lymphoma
C183512	Recurrent Indolent B-Cell Non-Hodgkin Lymphoma
C95991	Dural Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
C71720	Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System
C141256	Lymphoplasmacytic Lymphoma by Ann Arbor Stage
C141257	Mantle Cell Lymphoma by Ann Arbor Stage
C8843	Ann Arbor Stage II B-Cell Non-Hodgkin Lymphoma
C141225	Nodular Lymphocyte Predominant B-Cell Lymphoma by Ann Arbor Stage
C141255	Follicular Lymphoma by Ann Arbor Stage
C141258	Marginal Zone Lymphoma by Ann Arbor Stage
C141253	Burkitt Lymphoma by Ann Arbor Stage
C27308	Ann Arbor Stage I B-Cell Non-Hodgkin Lymphoma
C141254	Diffuse Large B-Cell Lymphoma by Ann Arbor Stage
C8844	Ann Arbor Stage III B-Cell Non-Hodgkin Lymphoma
C8845	Ann Arbor Stage IV B-Cell Non-Hodgkin Lymphoma
C189042	Recurrent B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative
C134834	Recurrent Ph-Like Acute Lymphoblastic Leukemia
C177895	Recurrent B Acute Lymphoblastic Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1
C4396	Malignant Adrenal Medulla Neoplasm
C9327	Malignant Adrenal Cortical Neoplasm
C153206	Locally Advanced Lung Carcinoma
C36306	Lung Carcinoma Metastatic in the Liver
C153203	Advanced Lung Carcinoma
C156092	Metastatic Lung Squamous Cell Carcinoma
C36305	Lung Carcinoma Metastatic in the Bone
C187195	Oligometastatic Lung Carcinoma
C156094	Metastatic Lung Non-Small Cell Carcinoma
C159903	Advanced Thymic Carcinoma
C148126	Locally Advanced Thymic Carcinoma
C27384	Pleural Carcinomatosis
C8527	Metastatic Malignant Neoplasm in the Sternum
C45698	Pleural Biphasic Synovial Sarcoma
C45697	Pleural Monophasic Synovial Sarcoma
C6886	Malignant Type AB Thymoma
C7999	Malignant Type A Thymoma
C7997	Thymoma Type B3
C9080	Noninvasive Malignant Thymoma
C7996	Malignant Type B1 Thymoma
C6889	Malignant Type B2 Thymoma
C180871	Advanced Thymic Neuroendocrine Neoplasm
C6172	Urethral Clear Cell Adenocarcinoma
C7371	Accessory Urethral Gland Adenocarcinoma
C183315	Thymic Adenocarcinoma, Not Otherwise Specified
C146717	Thymic Hepatoid Adenocarcinoma
C183314	Thymic Enteric-Type Adenocarcinoma
C3302	Extramammary Paget Disease
C40153	Endometrial Mixed Cell Adenocarcinoma
C40145	Type I Endometrial Adenocarcinoma
C39749	Type II Endometrial Adenocarcinoma
C8942	Metastatic Endometrial Adenocarcinoma
C179322	Endometrial Mesonephric-Like Adenocarcinoma
C180536	Endometrial Mucinous Adenocarcinoma, Intestinal-Type
C180537	Endometrial Mucinous Adenocarcinoma, Gastric-Type
C7977	Pancreatic Acinar Cell Cancer
C156906	Resectable Pancreatic Adenocarcinoma
C162016	Unresectable Pancreatic Adenocarcinoma
C95458	Pancreatic Mixed Acinar-Ductal Carcinoma
C9120	Pancreatic Ductal Adenocarcinoma
C5726	Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma
C8933	Metastatic Pancreatic Adenocarcinoma
C133548	Gastroesophageal Junction Adenocarcinoma by AJCC v8 Stage
C150578	Unresectable Gastroesophageal Junction Adenocarcinoma
C175267	Lacrimal Gland Oncocytic Adenocarcinoma
C175290	Lacrimal Gland Acinic Cell Carcinoma
C9159	Diffuse Gastric Adenocarcinoma|Gastric Diffuse Adenocarcinoma
C40139	Broad Ligament Clear Cell Adenocarcinoma
C40137	Broad Ligament Mucinous Adenocarcinoma
C126479	Broad Ligament Serous Adenocarcinoma
C4145	Adenocarcinoma in Tubulovillous Adenoma
C7677	Adenocarcinoma in Tubular Adenoma
C4136	Adenocarcinoma in Multiple Adenomatous Polyps
C4141	Adenocarcinoma in Villous Adenoma
C7678	Adenocarcinoma In Situ in Adenomatous Polyp
C43558	Appendix Mucinous Adenocarcinoma
C43554	Appendix Signet Ring Cell Carcinoma
C203619	Unresectable Appendix Adenocarcinoma
C182104	Metastatic Appendix Adenocarcinoma
C180947	Vaginal Adenocarcinoma of Skene Gland Origin
C180948	Skene Gland Adenocarcinoma of the Urethra
C4032	Bladder Adenocarcinoma
C176005	Breast Ductal Carcinoma In Situ, Comedo Type
C201124	Cribriform Comedo-Type Adenocarcinoma
C127915	Cervical Adenocarcinoma Admixed with Neuroendocrine Carcinoma
C167364	Endocrine Mucin-Producing Sweat Gland Carcinoma
C175585	Breast Carcinoma with Neuroendocrine Differentiation
C201135	Goblet Cell Adenocarcinoma
C40253	Vaginal Mesonephric Adenocarcinoma
C40254	Cervical Mesonephric Adenocarcinoma
C5754	Clear Cell Hepatocellular Carcinoma
C191768	Clear Cell Adenocarcinoma of the Urinary Tract
C43848	Clear Cell Intrahepatic Cholangiocarcinoma
C27843	Endometrial Endometrioid Adenocarcinoma with Clear Cell Change
C6280	Fallopian Tube Clear Cell Adenocarcinoma
C5775	Extrahepatic Bile Duct Clear Cell Adenocarcinoma
C6344	Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type
C54664	Hidradenocarcinoma
C27414	Ampulla of Vater Clear Cell Adenocarcinoma
C46094	Clear Cell Variant Thyroid Gland Papillary Carcinoma
C40078	Ovarian Clear Cell Adenocarcinoma
C8028	Endometrial Clear Cell Adenocarcinoma
C7735	Vaginal Clear Cell Adenocarcinoma
C4033	Clear Cell Renal Cell Carcinoma
C43605	Gallbladder Clear Cell Adenocarcinoma
C162566	Primary Peritoneal Clear Cell Carcinoma
C40023	Primary Peritoneal Serous Adenocarcinoma
C40099	Fallopian Tube Serous Adenocarcinoma
C40152	Serous Endometrial Intraepithelial Carcinoma
C27838	Endometrial Serous Adenocarcinoma
C7550	Ovarian Serous Adenocarcinoma
C40201	Cervical Serous Adenocarcinoma
C180943	Human Papillomavirus-Related Vaginal Adenocarcinoma
C8944	Metastatic Vaginal Adenocarcinoma
C40252	Vaginal Mucinous Adenocarcinoma
C96891	Gallbladder Cribriform Carcinoma
C43604	Gallbladder Adenocarcinoma, Intestinal-Type
C96890	Gallbladder Hepatoid Adenocarcinoma
C96915	Gallbladder Adenocarcinoma, Biliary Type
C96916	Gallbladder Adenocarcinoma, Gastric Foveolar Type
C96887	Gallbladder Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma
C9169	Gallbladder Adenocarcinoma with Squamous Metaplasia
C5745	Gallbladder Signet Ring Cell Carcinoma
C5744	Gallbladder Mucinous Adenocarcinoma
C189064	Unresectable Gallbladder Adenocarcinoma
C161906	Esophageal Intramucosal Adenocarcinoma
C156074	Metastatic Esophageal Adenocarcinoma
C150031	Cervical Esophagus Adenocarcinoma
C150027	Thoracic Esophagus Adenocarcinoma
C133411	Esophageal Adenocarcinoma by AJCC v7 Stage
C152036	Distal Esophagus Adenocarcinoma
C173162	Unresectable Esophageal Adenocarcinoma
C133400	Esophageal Adenocarcinoma by AJCC v8 Stage
C167365	Syringocystadenocarcinoma Papilliferum
C27255	Eccrine Carcinoma
C27533	Primary Cutaneous Mucinous Carcinoma
C3682	Sweat Gland Tubular Carcinoma
C4472	Skin Mucoepidermoid Carcinoma
C7581	Microcystic Adnexal Carcinoma
C4169	Apocrine Carcinoma
C128164	Vulvar Adenocarcinoma of Sweat Gland Origin
C170972	Metastatic Primary Peritoneal Adenocarcinoma
C95966	Ampulla of Vater Hepatoid Adenocarcinoma
C95963	Ampulla of Vater Pancreatobiliary Type Adenocarcinoma
C189065	Unresectable Ampulla of Vater Adenocarcinoma
C6656	Ampulla of Vater Signet Ring Cell Carcinoma
C27416	Ampulla of Vater Mucinous Adenocarcinoma
C27415	Ampulla of Vater Intestinal-Type Adenocarcinoma
C171585	Unresectable Colorectal Adenocarcinoma
C161048	Metastatic Colorectal Adenocarcinoma
C43584	Rectosigmoid Adenocarcinoma
C9447	Grade 2 Colorectal Adenocarcinoma
C96485	Colorectal Serrated Adenocarcinoma
C4349	Colon Adenocarcinoma
C96488	Colorectal Cribriform Comedo-Type Adenocarcinoma
C9383	Rectal Adenocarcinoma
C172694	Colorectal Poorly Cohesive Adenocarcinoma
C43590	Colorectal Medullary Carcinoma
C172699	Colorectal Adenoma-Like Adenocarcinoma
C9448	Grade 3 Colorectal Adenocarcinoma
C172700	Inflammatory Bowel Disease-Associated Colorectal Adenocarcinoma
C9446	Grade 1 Colorectal Adenocarcinoma
C43585	Colorectal Mucinous Adenocarcinoma
C5596	Prostate Acinar Adenocarcinoma
C8013	Salivary Gland Acinic Cell Carcinoma
C128166	Vulvar Mucinous Adenocarcinoma, Intestinal-Type
C40203	Cervical Mucinous Adenocarcinoma, Intestinal-Type
C203376	Salivary Gland Intestinal-Type Adenocarcinoma
C116316	Intestinal-Type Sinonasal Adenocarcinoma
C180946	Vaginal Mucinous Adenocarcinoma, Intestinal-Type
C9157	Gastric Intestinal Type Adenocarcinoma|Gastric Intestinal-Type Adenocarcinoma
C136710	Lung Enteric Adenocarcinoma
C7975	Extrahepatic Bile Duct Adenocarcinoma
C4436	Cholangiocarcinoma
C4130	Bile Duct Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma
C6877	Grade III Glandular Intraepithelial Neoplasia
C8894	Stage 0 Bladder Adenocarcinoma AJCC v6 and v7
C7680	Adenocarcinoma In Situ in a Polyp
C8758	Stage 0 Lung Adenocarcinoma AJCC v6 and v7
C136486	Lung Adenocarcinoma In Situ
C3345	Pseudomyxoma Peritonei
C43536	Small Intestinal Mucinous Adenocarcinoma
C36095	Cervical Mucinous Adenocarcinoma
C45512	Lung Colloid Adenocarcinoma
C5243	Ovarian Mucinous Adenocarcinoma
C37214	Pancreatic Colloid Carcinoma
C5537	Prostate Acinar Mucinous Adenocarcinoma
C5248	Gastric Mucinous Adenocarcinoma
C41618	Mucin-Producing Intrahepatic Cholangiocarcinoma
C39837	Bladder Mucinous Adenocarcinoma
C160995	Sinonasal Adenocarcinoma, Intestinal-Type with Mucinous Pattern
C40103	Fallopian Tube Mucinous Adenocarcinoma
C5606	Anal Mucinous Adenocarcinoma
C62193	Salivary Gland Mucinous Adenocarcinoma
C5846	Extrahepatic Bile Duct Mucinous Adenocarcinoma
C40144	Endometrial Mucinous Adenocarcinoma
C95763	Gastric Intramucosal Adenocarcinoma
C45429	Colon Intramucosal Adenocarcinoma
C114987	Adult Combined Hepatocellular Carcinoma and Cholangiocarcinoma
C39895	Prostate Ductal Adenocarcinoma, Cribriform Pattern
C162973	Non-Invasive Cribriform Carcinoma
C160974	Cribriform Adenocarcinoma of Minor Salivary Gland
C5904	Salivary Duct Carcinoma
C5948	Minor Salivary Gland Adenocarcinoma
C199665	Metastatic Salivary Gland Adenocarcinoma
C35702	Salivary Gland Polymorphous Adenocarcinoma
C5903	Major Salivary Gland Adenocarcinoma
C123384	Salivary Gland Secretory Carcinoma
C62192	Salivary Gland Intraductal Carcinoma
C62196	Salivary Gland Adenocarcinoma, Not Otherwise Specified
C201772	Salivary Gland Microsecretory Adenocarcinoma
C7719	Bartholin Gland Adenocarcinoma
C128162	Vulvar Adenocarcinoma of Mammary Gland Type
C170970	Unresectable Fallopian Tube Adenocarcinoma
C40105	Stage 0 Fallopian Tube Cancer AJCC v7
C172714	Small Hepatocellular Carcinoma
C7956	Adult Hepatocellular Carcinoma
C91228	Hepatocellular Carcinoma by AJCC v7 Stage
C172710	Macrotrabecular Massive Hepatocellular Carcinoma
C154091	Metastatic Hepatocellular Carcinoma
C96788	Lymphoepithelioma-Like Hepatocellular Carcinoma
C27345	Unresectable Hepatocellular Carcinoma
C4131	Fibrolamellar Carcinoma
C90510	Hepatocellular Carcinoma by AJCC v6 Stage
C96791	Poorly Differentiated Hepatocellular Carcinoma
C27388	Scirrhous Hepatocellular Carcinoma
C96790	Moderately Differentiated Hepatocellular Carcinoma
C96789	Well Differentiated Hepatocellular Carcinoma
C134515	Hepatocellular Carcinoma by AJCC v8 Stage
C172709	Steatohepatitic Hepatocellular Carcinoma
C43627	Sarcomatoid Hepatocellular Carcinoma
C172713	Neutrophil-Rich Hepatocellular Carcinoma
C115132	Hepatocellular Carcinoma by BCLC Stage
C43625	Pleomorphic Hepatocellular Carcinoma
C172712	Chromophobe Hepatocellular Carcinoma
C27677	Human Papillomavirus-Related Cervical Adenocarcinoma
C150595	Metastatic Renal Cell Carcinoma
